Confederation,Stadium,City,HomeTeams,Capacity,Country,IOC,Thumbnail,Description
UEFA,Edmond Machtens-Stadion,Sint-Jans-Molenbeek,FC Brussels,15266,Belgium,BEL
UEFA,Freethiel,Beveren,Waasland-Beveren,13290,Belgium,BEL
UEFA,Gemeentelijk Parkstadion,Boom,Rupel Boom,9450,Belgium,BEL
UEFA,Ghelamco Arena,Gent,KAA Gent,19999,Belgium,BEL
UEFA,Henri Houtsaeger Stadion,Koksijde,KVVC,2500,Belgium,BEL
UEFA,Herman Vanderpoortenstadion,Lier,Lierse,15500,Belgium,BEL
UEFA,Jan Breydel Stadion,Brugge,"Club Brugge, Cercle Brugge",29022,Belgium,BEL
UEFA,Kehrwegstadion,Eupen,KAS Eupen,8400,Belgium,BEL
UEFA,King Power at Den Dreef Stadion,Leuven,OH Leuven,10020,Belgium,BEL
UEFA,Ludo Coeck Stadion,Antwerp,Berchem Sport,13607,Belgium,BEL
UEFA,Luminus Arena,Genk,Genk,23718,Belgium,BEL
UEFA,Olympisch Stadion,Antwerp,Beerschot Wilrijk,12771,Belgium,BEL
UEFA,Pierre Cornelisstadion,Aalst,Eendracht,6294,Belgium,BEL
UEFA,Regenboogstadion,Waregem,Zulte,11020,Belgium,BEL
UEFA,Schierveldestadion,Roeselare,KSV Roeselare,9036,Belgium,BEL
UEFA,Staaien,Sint-Truiden,St-Truiden VV,12125,Belgium,BEL
UEFA,Stade Charles Tondreau,Mons,RAEC Mons,12662,Belgium,BEL
UEFA,Stade de la Neuville,Charleroi,ROC de Charleroi,12164,Belgium,BEL
UEFA,Stade Robert Urbain,Boussu,Royal Boussu,6000,Belgium,BEL
CONMEBOL,Estadio Hernando Siles,La Paz,"The Strongest, Destroyers, Mariscal Braun",42000,Bolivia,BOL
UEFA,Stadion Bilino Polje,Zenica,?elik,18000,Bosnia-Herzegovina,BIH
UEFA,Stadion Gradski,Banja Luka,Borac,9730,Bosnia-Herzegovina,BIH
UEFA,Stadion Gradski,Ugljevik,Rudar,8000,Bosnia-Herzegovina,BIH
UEFA,Stadion Jedinstvo,Biha?,Jedinstvo,7500,Bosnia-Herzegovina,BIH
AFC,Stadium Balapan,Bandar Seri Begawan,"Jerudong, Gunners, NBT, Majra",3000,Brunei,BRU
AFC,Stadium Negara Hassanal Bolkiah,Bandar Seri Begawan,DPMM FC,30000,Brunei,BRU
UEFA,Ludogorets Arena,Razgrad,Ludogorets,9000,Bulgaria,BUL
UEFA,Stadion 9. Septembri,Burgas,Czernomorec,22000,Bulgaria,BUL
UEFA,Stadion Bonchuk,Dupnitsa,Marek,16050,Bulgaria,BUL
UEFA,Stadion Georgi Asparuhov,Sofia,Levski,29200,Bulgaria,BUL
UEFA,Stadion Hristo Botev,Plovdiv,Botev,21000,Bulgaria,BUL
UEFA,Stadion Hristo Botev,Blagoevgrad,Pirin,7500,Bulgaria,BUL
UEFA,Stadion Lazur,Burgas,Neftochimic,18339,Bulgaria,BUL
UEFA,Stadion Lokomotiv,Plovdiv,Lokomotiv,12000,Bulgaria,BUL
UEFA,Stadion Lokomotiv,Sofia,Lokomotiv,16000,Bulgaria,BUL
UEFA,Stadion ?owecz,Lovech,Litex,7050,Bulgaria,BUL
UEFA,Stadion Slavija,Sofia,Slavija,18000,Bulgaria,BUL
UEFA,Stadion Spartak,Varna,Spartak,12000,Bulgaria,BUL
AFC,Bogyoke Aung San Stadium,Yangon,Manaw Mayay,40000,Burma,MYA
AFC,Mandalar Thiri Sports Stadium,Mandalay,Yadanarbon,30589,Burma,MYA
AFC,Thuwunna YTC Stadium,Yangon,Rakhapura United,50000,Burma,MYA
CAF,Stade Prince Louis Rwagasore,Bujumbura,"Prince Louis, Vital'O",22000,Burundi,BDI
AFC,Changlimithang Stadium,Thimphu,"Druk Pol, Druk Star, Druk United, Thimpu City",15000,Butan,BHU
CONCACAF,BC Place,Vancouver,"Whitecaps, Lions",52465,Canada,CAN
CONCACAF,BMO Field,Toronto,Toronto FC,30991,Canada,CAN
CONCACAF,Commonwealth Stadium,Edmonton,Eskimos,56302,Canada,CAN
CONCACAF,Investors Group Field,Winnipeg,Blue Bombers,33422,Canada,CAN
CONCACAF,Lamport Stadium,Toronto,Serbian White Eagles,9600,Canada,CAN
CONCACAF,McMahon Stadium,Calgary,"Stampeders, Dinos",35650,Canada,CAN
CONCACAF,Mosaic Stadium,Regina,Roughriders,33000,Canada,CAN
CONCACAF,Olympic Stadium,Montreal,Alouettes,66308,Canada,CAN
CONCACAF,Percival Molson Stadium,Montreal,Alouettes,25012,Canada,CAN
CONCACAF,Rogers Centre,Toronto,Argonauts,54000,Canada,CAN
CONCACAF,Stade Saputo,Montreal,Impact,20801,Canada,CAN
CONCACAF,TD Place Stadium,Ottawa,"Redblacks, Fury",24000,Canada,CAN
CONCACAF,Tim Hortons Field,Hamilton,Tiger-Cats,24000,Canada,CAN
CONMEBOL,Estadio Bicentenario La Florida,La Florida,Audax Italiano,12000,Chile,CHI
CONMEBOL,Estadio CAP,Talcahuano,CD Huachipato,10500,Chile,CHI
CONMEBOL,Estadio Carlos Dittborn,Arica,San Marcos,9746,Chile,CHI
